rotor_radius_m,disk_loading_Nm2,mtow_kg,battery_mass_kg,installed_power_kW,converged
0.6,707.042,652.329,155.104,248.749,1
0.65,584.915,633.343,147.505,221.592,1
0.7,492.583,618.578,141.619,200.339,1
0.75,420.881,606.737,136.913,183.21,1
0.8,363.987,597.014,133.059,169.089,1
0.85,318.031,588.879,129.84,157.235,1
0.9,280.346,581.967,127.111,147.137,1
0.95,249.041,576.02,124.765,138.428,1
1,222.741,570.846,122.728,130.839,1
1.05,200.425,566.304,120.941,124.165,1
1.1,181.322,562.284,119.36,118.25,1
1.15,164.841,558.701,117.953,112.972,1
1.2,150.519,555.487,116.691,108.232,1
1.25,137.995,552.588,115.554,103.954,1
1.3,126.977,549.961,114.524,100.073,1
